Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,163072.42726433094,3.1539752994103942,163072.42726433094,((X1  * ((6.390184542604821 - 4.267220923254316) / (3.73218208886237 + (3.73218208886237 + X1 )))) * 4.293301407797735),((X1  * (2.1229636193505055 / (3.73218208886237 + (3.73218208886237 + X1 )))) * 4.293301407797735)
1,11582.883568758141,3.1539752994103942,11582.883568758141,((X1  * ((6.390184542604821 - 4.267220923254316) / (3.73218208886237 + (3.73218208886237 + X1 )))) * 4.293301407797735),((X1  * (2.1229636193505055 / (3.73218208886237 + (3.73218208886237 + X1 )))) * 4.293301407797735)
2,924.7551224326215,2.3237467712350606,924.7551224326215,(((5.5146109477716525 + 3.73218208886237) * X1 ) / (X1  + ((4.267220923254316 + 2.864039375721521) / 0.7389026619325999))),((9.246793036634022 * X1 ) / (X1  + 9.651149828482179))
3,168.8313197264103,2.3237467712350606,168.8313197264103,(((5.5146109477716525 + 3.73218208886237) * X1 ) / (X1  + ((4.267220923254316 + 2.864039375721521) / 0.7389026619325999))),((9.246793036634022 * X1 ) / (X1  + 9.651149828482179))
4,106.1632191547062,1.6910946294788927,106.1632191547062,(((((5.428952969743395 + 4.267220923254316) * (X1  / (0.7389026619325999 / 0.7389026619325999))) - 4.293301407797735) / (X1  + (6.138099513186894 + 5.5146109477716525))) + ((0.7389026619325999 / (3.73218208886237 / (((3.73218208886237 / 2.0252742962381327) / (4.267220923254316 - 2.864039375721521)) + 4.267220923254316))) / (3.73218208886237 + 3.73218208886237))),((((9.69617389299771 * (X1  / 1.0)) - 4.293301407797735) / (X1  + 11.652710460958547)) + 0.14801529723189907)
5,292.4009823600379,1.383926061678662,292.4009823600379,(((((5.428952969743395 + 4.267220923254316) * (X1  / (0.7389026619325999 / 0.7389026619325999))) - 4.293301407797735) / (X1  + ((4.293301407797735 + 2.864039375721521) + 5.5146109477716525))) + ((2.0252742962381327 / (3.73218208886237 / 4.267220923254316)) / (3.73218208886237 + 3.73218208886237))),((((9.69617389299771 * (X1  / 1.0)) - 4.293301407797735) / (X1  + 12.671951731290909)) + 0.3102225292979743)
6,236.98389602864594,1.383926061678662,236.98389602864594,(((((5.428952969743395 + 4.267220923254316) * (X1  / (0.7389026619325999 / 0.7389026619325999))) - 4.293301407797735) / (X1  + ((4.293301407797735 + 2.864039375721521) + 5.5146109477716525))) + ((2.0252742962381327 / (3.73218208886237 / 4.267220923254316)) / (3.73218208886237 + 3.73218208886237))),((((9.69617389299771 * (X1  / 1.0)) - 4.293301407797735) / (X1  + 12.671951731290909)) + 0.3102225292979743)
7,179.8661367915324,1.383926061678662,179.8661367915324,(((((5.428952969743395 + 4.267220923254316) * (X1  / (0.7389026619325999 / 0.7389026619325999))) - 4.293301407797735) / (X1  + ((4.293301407797735 + 2.864039375721521) + 5.5146109477716525))) + ((2.0252742962381327 / (3.73218208886237 / 4.267220923254316)) / (3.73218208886237 + 3.73218208886237))),((((9.69617389299771 * (X1  / 1.0)) - 4.293301407797735) / (X1  + 12.671951731290909)) + 0.3102225292979743)
8,155.23371450389467,1.3838553131699547,155.23371450389467,(((((5.428952969743395 + 4.267220923254316) * (X1  / (0.7389026619325999 / 0.7389026619325999))) - 4.293301407797735) / (X1  + ((4.293301407797735 + 2.864039375721521) + 5.5146109477716525))) + ((0.7389026619325999 / (3.73218208886237 / ((5.428952969743395 / (0.7389026619325999 + ((2.864039375721521 - (((2.0252742962381327 / ((X1  / 5.5146109477716525) + (5.428952969743395 * 2.0252742962381327))) + 3.73218208886237) / 0.7389026619325999)) - 4.267220923254316))) + ((2.0252742962381327 + 5.5146109477716525) + 5.5146109477716525)))) / (3.73218208886237 + 3.73218208886237))),((((9.69617389299771 * (X1  / 1.0)) - 4.293301407797735) / (X1  + 12.671951731290909)) + ((0.7389026619325999 / (3.73218208886237 / ((5.428952969743395 / (0.7389026619325999 + ((2.864039375721521 - (((2.0252742962381327 / ((X1  / 5.5146109477716525) + 10.995118905106974)) + 3.73218208886237) / 0.7389026619325999)) - 4.267220923254316))) + 13.054496191781437))) / 7.46436417772474))
9,538.6192003249,0.3504248172336899,538.6192003249,((((X1  / 5.428952969743395) / 4.267220923254316) * (((5.428952969743395 + (2.864039375721521 - ((((5.428952969743395 - 3.73218208886237) + 2.0252742962381327) + ((((5.5146109477716525 / 0.7389026619325999) - ((0.7389026619325999 + 5.5146109477716525) / X1 )) - X1 ) - X1 )) / (4.267220923254316 + (((X1  + (((0.7389026619325999 - 6.138099513186894) / (5.5146109477716525 / (0.7389026619325999 - (X1  / 2.0252742962381327)))) * 2.0252742962381327)) / ((3.73218208886237 - (5.428952969743395 / (X1  + (4.267220923254316 - 4.267220923254316)))) * 6.138099513186894)) + (6.390184542604821 - 4.267220923254316)))))) + (6.138099513186894 + (4.267220923254316 + 3.73218208886237))) * 6.390184542604821)) / (3.73218208886237 + X1 )),((((X1  / 5.428952969743395) / 4.267220923254316) * (((5.428952969743395 + (2.864039375721521 - ((3.7220451771191576 + (((7.463244121151476 - (6.253513609704252 / X1 )) - X1 ) - X1 )) / (4.267220923254316 + (((X1  + ((-5.3991968512542945 / (5.5146109477716525 / (0.7389026619325999 - (X1  / 2.0252742962381327)))) * 2.0252742962381327)) / ((3.73218208886237 - (5.428952969743395 / (X1  + 0.0))) * 6.138099513186894)) + 2.1229636193505055))))) + 14.13750252530358) * 6.390184542604821)) / (3.73218208886237 + X1 ))
