Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,2.08627977892591296E17,170.56692672891896,2.08627977892591296E17,((X2  + ((X1  - 420.83553030242314) / 420.83553030242314)) / (29.234260813290096 / (X2  * (137.02858792893937 + X1 )))),((X2  + ((X1  - 420.83553030242314) / 420.83553030242314)) / (29.234260813290096 / (X2  * (137.02858792893937 + X1 ))))
1,7.586124618183959E17,170.56692672891896,7.586124618183959E17,((X2  + ((X1  - 420.83553030242314) / 420.83553030242314)) / (29.234260813290096 / (X2  * (137.02858792893937 + X1 )))),((X2  + ((X1  - 420.83553030242314) / 420.83553030242314)) / (29.234260813290096 / (X2  * (137.02858792893937 + X1 ))))
2,4.659449673232684E15,127.59200583532932,4.659449673232684E15,((((X2  * X2 ) - X2 ) * ((88.41963625263912 + 137.02858792893937) + (35.18656268506084 + (459.41474913444154 - 35.18656268506084)))) / 155.32208346750798),((((X2  * X2 ) - X2 ) * 684.8629733160201) / 155.32208346750798)
3,4.659313294702096E15,127.59200583532932,4.659313294702096E15,((((X2  * X2 ) - X2 ) * ((88.41963625263912 + 137.02858792893937) + (35.18656268506084 + (459.41474913444154 - 35.18656268506084)))) / 155.32208346750798),((((X2  * X2 ) - X2 ) * 684.8629733160201) / 155.32208346750798)
4,8.706244324039017E9,110.41314784554083,8.706244324039017E9,((((X2  * X2 ) - X2 ) * (88.41963625263912 + (420.83553030242314 + (155.32208346750798 - (35.18656268506084 / 155.32208346750798))))) / 155.32208346750798),((((X2  * X2 ) - X2 ) * 664.3507106799375) / 155.32208346750798)
5,9.242732730795322E9,109.919874442424,9.242732730795322E9,((((X2  * X2 ) - X2 ) * ((88.41963625263912 + (88.41963625263912 + 29.234260813290096)) + (35.18656268506084 + (459.41474913444154 - 35.18656268506084)))) / 155.32208346750798),((((X2  * X2 ) - X2 ) * 665.4882824530099) / 155.32208346750798)
6,9.168159144525604E7,92.90339418621096,9.168159144525604E7,((((X2  * X2 ) - X2 ) * ((((88.41963625263912 - (88.41963625263912 / 29.234260813290096)) + (((155.32208346750798 - 420.83553030242314) * (X1  - 35.18656268506084)) / ((137.02858792893937 - 35.18656268506084) - 35.18656268506084))) + (X1  + 321.59616448596546)) + ((X1  / 155.32208346750798) + (137.02858792893937 - 35.18656268506084)))) / 155.32208346750798),((((X2  * X2 ) - X2 ) * (((85.39511523542076 + ((-265.51344683491516 * (X1  - 35.18656268506084)) / 66.6554625588177)) + (X1  + 321.59616448596546)) + ((X1  / 155.32208346750798) + 101.84202524387854))) / 155.32208346750798)
7,2.0166561066856492E7,41.38746415553734,2.0166561066856492E7,((((88.41963625263912 + (((137.02858792893937 - 155.32208346750798) + 459.41474913444154) / 88.41963625263912)) / 420.83553030242314) - ((X1  * X1 ) * ((262.0428170351422 / X2 ) - 137.02858792893937))) / 35.18656268506084),((0.22195984122779308 - ((X1  * X1 ) * ((262.0428170351422 / X2 ) - 137.02858792893937))) / 35.18656268506084)
8,7.28506663931166E7,33.713349403837064,7.28506663931166E7,((X1  * (((88.41963625263912 / X2 ) - (137.02858792893937 + 137.02858792893937)) + (X1  * 137.02858792893937))) / 35.18656268506084),((X1  * (((88.41963625263912 / X2 ) - 274.05717585787875) + (X1  * 137.02858792893937))) / 35.18656268506084)
9,2.2072243160658383E8,16.96957839357725,2.2072243160658383E8,(((X1  - (256.20271603201684 / (155.32208346750798 + X1 ))) * 35.18656268506084) * ((X2  * 29.234260813290096) / 256.20271603201684)),(((X1  - (256.20271603201684 / (155.32208346750798 + X1 ))) * 35.18656268506084) * ((X2  * 29.234260813290096) / 256.20271603201684))
