Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,85.7133330839285,0.5785369294538623,85.7133330839285,(((2.3496521481469097 * (X1  + X1 )) / 2.3496521481469097) / ((2.5384218550081585 + ((X1  + 2.2971255276116285) / 2.3496521481469097)) - 2.5384218550081585)),(((2.3496521481469097 * (X1  + X1 )) / 2.3496521481469097) / ((2.5384218550081585 + ((X1  + 2.2971255276116285) / 2.3496521481469097)) - 2.5384218550081585))
1,26.310601506665495,0.5523971472904757,26.310601506665495,(2.675996757395634 - (((2.2971255276116285 * (1.7646081715207116 / (X1  + 2.374852761624334))) * (2.675996757395634 - ((0.34569309281484106 * 2.732909415619888) * X1 ))) / 1.7263656815913926)),(2.675996757395634 - (((2.2971255276116285 * (1.7646081715207116 / (X1  + 2.374852761624334))) * (2.675996757395634 - (0.944747908268439 * X1 ))) / 1.7263656815913926))
2,14.000160416046176,0.4221901998985148,14.000160416046176,(X1  / (((2.675996757395634 + X1 ) / (2.732909415619888 - 1.7263656815913926)) / (2.2971255276116285 + (((1.7646081715207116 * (2.374852761624334 * 0.34569309281484106)) / 2.374852761624334) + 2.374852761624334)))),(X1  / (((2.675996757395634 + X1 ) / 1.0065437340284955) / 5.281991145655299))
3,10.562050687606089,0.1321462620845938,10.562050687606089,(((2.3496521481469097 + (1.7646081715207116 / 0.5500527936481429)) * X1 ) / ((X1  + 2.5384218550081585) - ((0.34569309281484106 - 1.7263656815913926) / 2.732909415619888))),((5.557722704097024 * X1 ) / ((X1  + 2.5384218550081585) - -0.5052024706290467))
4,8.388602329893478,0.1321462620845938,8.388602329893478,(((2.3496521481469097 + (1.7646081715207116 / 0.5500527936481429)) * X1 ) / ((X1  + 2.5384218550081585) - ((0.34569309281484106 - 1.7263656815913926) / 2.732909415619888))),((5.557722704097024 * X1 ) / ((X1  + 2.5384218550081585) - -0.5052024706290467))
5,7.242320635904643,0.1321462620845938,7.242320635904643,(((2.3496521481469097 + (1.7646081715207116 / 0.5500527936481429)) * X1 ) / ((X1  + 2.5384218550081585) - ((0.34569309281484106 - 1.7263656815913926) / 2.732909415619888))),((5.557722704097024 * X1 ) / ((X1  + 2.5384218550081585) - -0.5052024706290467))
6,7.342258702910294,0.1321462620845938,7.342258702910294,(((2.3496521481469097 + (1.7646081715207116 / 0.5500527936481429)) * X1 ) / ((X1  + 2.5384218550081585) - ((0.34569309281484106 - 1.7263656815913926) / 2.732909415619888))),((5.557722704097024 * X1 ) / ((X1  + 2.5384218550081585) - -0.5052024706290467))
7,7.575430473760528,0.13114386915894527,7.575430473760528,(((2.2971255276116285 + (1.7646081715207116 / 0.5500527936481429)) * X1 ) / ((X1  + 2.374852761624334) - (((0.34569309281484106 / (((((2.5384218550081585 + (((0.34569309281484106 * 0.5500527936481429) * (2.3496521481469097 + (2.374852761624334 - 0.5500527936481429))) * 1.7263656815913926)) + 2.5384218550081585) / ((2.2971255276116285 - (0.5500527936481429 - (0.34569309281484106 / 2.3496521481469097))) + (1.7646081715207116 / (((2.2971255276116285 * X1 ) / 1.7263656815913926) + (1.7646081715207116 / (1.7263656815913926 * 2.3496521481469097)))))) - 1.7646081715207116) + 1.7263656815913926)) - 1.7263656815913926) / 2.732909415619888))),((5.505196083561744 * X1 ) / ((X1  + 2.374852761624334) - (((0.34569309281484106 / (((6.447180617250152 / (1.8941979554936075 + (1.7646081715207116 / (((2.2971255276116285 * X1 ) / 1.7263656815913926) + 0.43502270003736127)))) - 1.7646081715207116) + 1.7263656815913926)) - 1.7263656815913926) / 2.732909415619888)))
8,7.396187270365556,0.0721778012456531,7.396187270365556,((2.374852761624334 + ((X1  + (X1  - 2.2971255276116285)) / ((0.5500527936481429 - 2.5384218550081585) - X1 ))) * (X1  / 1.7646081715207116)),((2.374852761624334 + ((X1  + (X1  - 2.2971255276116285)) / (-1.9883690613600158 - X1 ))) * (X1  / 1.7646081715207116))
9,7.022778001184802,0.0721778012456531,7.022778001184802,((2.374852761624334 + ((X1  + (X1  - 2.2971255276116285)) / ((0.5500527936481429 - 2.5384218550081585) - X1 ))) * (X1  / 1.7646081715207116)),((2.374852761624334 + ((X1  + (X1  - 2.2971255276116285)) / (-1.9883690613600158 - X1 ))) * (X1  / 1.7646081715207116))
