Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,1.545845677857355E10,8.186329296574344,1.545845677857355E10,((5.5965483376760305 + 6.681366315426977) * (X1  / ((1.4101852027169761 + X1 ) + 10.486193906818151))),(12.277914653103007 * (X1  / ((1.4101852027169761 + X1 ) + 10.486193906818151)))
1,1.1709926653749828E8,6.537629538564776,1.1709926653749828E8,((X1  * (11.607969812736886 - 10.486193906818151)) * (11.607969812736886 / ((X1  - (6.173862905300291 * 5.5965483376760305)) + (10.486193906818151 * (11.607969812736886 / 1.4101852027169761))))),((X1  * 1.121775905918735) * (11.607969812736886 / ((X1  - 34.55232217969805) + 86.31733057922354)))
2,755988.6618835399,4.13661832370334,755988.6618835399,(X1  * ((6.681366315426977 + 6.681366315426977) / ((X1  + ((6.681366315426977 - 5.519286583872758) / 10.486193906818151)) + (6.681366315426977 * 7.898136048485824)))),(X1  * (13.362732630853953 / ((X1  + 0.110819973565302) + 52.77034014901271)))
3,139039.04763275312,4.13661832370334,139039.04763275312,(X1  * ((6.681366315426977 + 6.681366315426977) / ((X1  + ((6.681366315426977 - 5.519286583872758) / 10.486193906818151)) + (6.681366315426977 * 7.898136048485824)))),(X1  * (13.362732630853953 / ((X1  + 0.110819973565302) + 52.77034014901271)))
4,376663.65851480654,3.050935915374888,376663.65851480654,((X1  * ((5.519286583872758 + 6.681366315426977) - 10.486193906818151)) * (7.898136048485824 / ((X1  - (6.173862905300291 * 5.5965483376760305)) + (10.486193906818151 * (11.607969812736886 / 1.4101852027169761))))),((X1  * 1.7144589924815836) * (7.898136048485824 / ((X1  - 34.55232217969805) + 86.31733057922354)))
5,5319976.570717206,2.700580436594251,5319976.570717206,(((((X1  + 6.849523296811113) / 11.607969812736886) - (6.681366315426977 / (7.898136048485824 / 6.173862905300291))) / (7.898136048485824 + 11.607969812736886)) - ((7.296402020769058 / 6.849523296811113) + ((5.5965483376760305 / (5.519286583872758 + 10.486193906818151)) + (10.486193906818151 * (10.486193906818151 - (11.607969812736886 - (5.519286583872758 / (X1  - (6.173862905300291 / (10.486193906818151 - 11.607969812736886)))))))))),(((((X1  + 6.849523296811113) / 11.607969812736886) - 5.22273095807784) / 19.50610586122271) - (1.0652423102445678 + (0.34966450028982815 + (10.486193906818151 * (10.486193906818151 - (11.607969812736886 - (5.519286583872758 / (X1  - -5.503650838572695))))))))
6,5049554.172507665,2.3009290997493608,5049554.172507665,(((7.296402020769058 + 6.681366315426977) * X1 ) / ((X1  - 1.4101852027169761) - (6.849523296811113 - (5.519286583872758 + (5.5965483376760305 * 10.486193906818151))))),((13.977768336196036 * X1 ) / ((X1  - 1.4101852027169761) - -57.356254364813296))
7,8.847445370273781E7,2.0036740061366105,8.847445370273781E7,(((((5.5965483376760305 + (6.681366315426977 + 5.5965483376760305)) - 7.898136048485824) - 1.4101852027169761) + ((((((X1  + 6.849523296811113) / 11.607969812736886) - ((7.296402020769058 / 11.607969812736886) / (7.898136048485824 / 6.849523296811113))) / ((1.4101852027169761 + 10.486193906818151) + 11.607969812736886)) - ((6.173862905300291 / 6.681366315426977) + (((((6.681366315426977 - 6.173862905300291) * 6.681366315426977) / 5.5965483376760305) / (6.849523296811113 + 1.4101852027169761)) + (10.486193906818151 * (10.486193906818151 - 11.607969812736886))))) * X1 )) / (6.849523296811113 + (10.486193906818151 + X1 ))),((8.566141739576237 + ((((((X1  + 6.849523296811113) / 11.607969812736886) - 0.5451151116988535) / 23.504348922272015) - -10.765764463096907) * X1 )) / (6.849523296811113 + (10.486193906818151 + X1 )))
8,9.997959703911408E8,1.7829435104937068,9.997959703911408E8,((((((6.849523296811113 - (6.173862905300291 - 7.296402020769058)) / ((((5.5965483376760305 - X1 ) + (6.681366315426977 + 6.849523296811113)) - (((X1  / (X1  + 11.607969812736886)) / 5.519286583872758) - 7.898136048485824)) * (X1  * 11.607969812736886))) - 7.898136048485824) - 6.849523296811113) + (((X1  / (((6.681366315426977 * 10.486193906818151) - 5.519286583872758) * 6.173862905300291)) + ((7.296402020769058 / (10.486193906818151 * 7.296402020769058)) + 11.607969812736886)) * X1 )) / (6.849523296811113 + (((7.898136048485824 - ((6.681366315426977 + 5.519286583872758) - (10.486193906818151 + 7.296402020769058))) - (5.5965483376760305 / (((7.296402020769058 / 5.519286583872758) * 10.486193906818151) + 6.681366315426977))) + X1 ))),(((((7.97206241227988 / ((((5.5965483376760305 - X1 ) + 13.53088961223809) - (((X1  / (X1  + 11.607969812736886)) / 5.519286583872758) - 7.898136048485824)) * (X1  * 11.607969812736886))) - 7.898136048485824) - 6.849523296811113) + (((X1  / 398.47849850728466) + 11.703333298181285) * X1 )) / (6.849523296811113 + (13.20766055115357 + X1 )))
9,1.5128237658650485E8,1.7829435104937068,1.5128237658650485E8,((((((6.849523296811113 - (6.173862905300291 - 7.296402020769058)) / ((((5.5965483376760305 - X1 ) + (6.681366315426977 + 6.849523296811113)) - (((X1  / (X1  + 11.607969812736886)) / 5.519286583872758) - 7.898136048485824)) * (X1  * 11.607969812736886))) - 7.898136048485824) - 6.849523296811113) + (((X1  / (((6.681366315426977 * 10.486193906818151) - 5.519286583872758) * 6.173862905300291)) + ((7.296402020769058 / (10.486193906818151 * 7.296402020769058)) + 11.607969812736886)) * X1 )) / (6.849523296811113 + (((7.898136048485824 - ((6.681366315426977 + 5.519286583872758) - (10.486193906818151 + 7.296402020769058))) - (5.5965483376760305 / (((7.296402020769058 / 5.519286583872758) * 10.486193906818151) + 6.681366315426977))) + X1 ))),(((((7.97206241227988 / ((((5.5965483376760305 - X1 ) + 13.53088961223809) - (((X1  / (X1  + 11.607969812736886)) / 5.519286583872758) - 7.898136048485824)) * (X1  * 11.607969812736886))) - 7.898136048485824) - 6.849523296811113) + (((X1  / 398.47849850728466) + 11.703333298181285) * X1 )) / (6.849523296811113 + (13.20766055115357 + X1 )))
