Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,355.71554552985066,1.1194600988849,355.71554552985066,((X1  / (3.4607980350415426 + ((2.7048121943275696 * X1 ) / 3.8133863048586933))) * 4.904109260961875),((X1  / (3.4607980350415426 + ((2.7048121943275696 * X1 ) / 3.8133863048586933))) * 4.904109260961875)
1,77.99730069047754,1.0060523557264758,77.99730069047754,((3.297620856997076 - (((1.753152540641596 * 1.0497837490431565) + (1.9658136375536102 + 1.8148161726648078)) * (1.9658136375536102 / (X1  + 3.4607980350415426)))) * 1.8148161726648078),((3.297620856997076 - (5.621060856977687 * (1.9658136375536102 / (X1  + 3.4607980350415426)))) * 1.8148161726648078)
2,22.551636877269512,0.5222811641078604,22.551636877269512,(1.0497837490431565 * (1.753152540641596 * (X1  / (((X1  * 1.0497837490431565) + 4.904109260961875) / (3.8133863048586933 * 1.0497837490431565))))),(1.0497837490431565 * (1.753152540641596 * (X1  / (((X1  * 1.0497837490431565) + 4.904109260961875) / 4.003230971664388))))
3,17.18214515985469,0.3721747917068874,17.18214515985469,(((((((((1.753152540641596 * 1.2627407269153474) / (4.904109260961875 * 1.753152540641596)) + 1.2627407269153474) / ((1.8148161726648078 * (3.8133863048586933 * 3.4607980350415426)) / (1.9658136375536102 - (4.904109260961875 + 1.9658136375536102)))) + 3.8133863048586933) / (X1  + 3.8133863048586933)) * (4.904109260961875 + (4.904109260961875 / 3.4607980350415426))) * (X1  / 1.9658136375536102)) / 1.753152540641596),((((3.5021079840859297 / (X1  + 3.8133863048586933)) * 6.321155043843859) * (X1  / 1.9658136375536102)) / 1.753152540641596)
4,16.99643241968937,0.3721747917068874,16.99643241968937,(((((((((1.753152540641596 * 1.2627407269153474) / (4.904109260961875 * 1.753152540641596)) + 1.2627407269153474) / ((1.8148161726648078 * (3.8133863048586933 * 3.4607980350415426)) / (1.9658136375536102 - (4.904109260961875 + 1.9658136375536102)))) + 3.8133863048586933) / (X1  + 3.8133863048586933)) * (4.904109260961875 + (4.904109260961875 / 3.4607980350415426))) * (X1  / 1.9658136375536102)) / 1.753152540641596),((((3.5021079840859297 / (X1  + 3.8133863048586933)) * 6.321155043843859) * (X1  / 1.9658136375536102)) / 1.753152540641596)
5,17.037158076190398,0.34909105483039693,17.037158076190398,(((X1  * 1.9658136375536102) + (X1  / (1.2627407269153474 / (4.904109260961875 / 1.2627407269153474)))) / (X1  + ((1.0497837490431565 + 3.297620856997076) - ((((1.9658136375536102 / (3.4607980350415426 / X1 )) + 4.904109260961875) / 2.7048121943275696) - (1.753152540641596 / ((4.904109260961875 + (3.8133863048586933 / 2.7048121943275696)) / 1.753152540641596)))))),(((X1  * 1.9658136375536102) + (X1  / 0.32513838060328154)) / (X1  + (4.347404606040232 - ((((1.9658136375536102 / (3.4607980350415426 / X1 )) + 4.904109260961875) / 2.7048121943275696) - 0.48678530760914557))))
6,15.744189763848377,0.34513534405490875,15.744189763848377,((X1  + X1 ) / ((X1  / 3.297620856997076) + 1.2627407269153474)),((X1  + X1 ) / ((X1  / 3.297620856997076) + 1.2627407269153474))
7,15.308900491388552,0.33565901002547327,15.308900491388552,(((((X1  * 3.297620856997076) - 4.904109260961875) - (4.904109260961875 + 3.8133863048586933)) / (((2.7048121943275696 - 1.9658136375536102) + (X1  - 1.753152540641596)) - ((1.2627407269153474 - 1.9658136375536102) - (1.8148161726648078 + 2.7048121943275696)))) + 3.297620856997076),(((((X1  * 3.297620856997076) - 4.904109260961875) - 8.717495565820569) / ((0.7389985567739594 + (X1  - 1.753152540641596)) - -5.222701277630639)) + 3.297620856997076)
8,14.379352491585236,0.316805711744681,14.379352491585236,(X1  / (((3.8133863048586933 + (4.904109260961875 - (3.8133863048586933 * ((1.0497837490431565 / (2.7048121943275696 - ((3.297620856997076 / 3.297620856997076) + (((3.8133863048586933 + X1 ) - 2.7048121943275696) / ((3.8133863048586933 * X1 ) - 1.753152540641596))))) / ((3.4607980350415426 * 3.297620856997076) * X1 ))))) + (X1  - 3.8133863048586933)) / (3.8133863048586933 + 3.297620856997076))),(X1  / (((3.8133863048586933 + (4.904109260961875 - (3.8133863048586933 * ((1.0497837490431565 / (2.7048121943275696 - (1.0 + (((3.8133863048586933 + X1 ) - 2.7048121943275696) / ((3.8133863048586933 * X1 ) - 1.753152540641596))))) / (11.412399782207489 * X1 ))))) + (X1  - 3.8133863048586933)) / 7.1110071618557695))
9,12.658785131755273,0.25174482553015576,12.658785131755273,(X1  * (1.9658136375536102 / (1.0497837490431565 + ((((X1  - (3.297620856997076 - ((X1  - (3.297620856997076 - 2.7048121943275696)) / ((X1  / 1.2627407269153474) + 1.753152540641596)))) / (3.4607980350415426 / 1.753152540641596)) + 1.753152540641596) / 1.8148161726648078)))),(X1  * (1.9658136375536102 / (1.0497837490431565 + ((((X1  - (3.297620856997076 - ((X1  - 0.5928086626695066) / ((X1  / 1.2627407269153474) + 1.753152540641596)))) / 1.9740427343390237) + 1.753152540641596) / 1.8148161726648078))))
10,12.429086231461971,0.20872096198793622,12.429086231461971,(X1  / (((((X1  + 3.297620856997076) - ((1.9658136375536102 - (1.9658136375536102 / (((3.4607980350415426 + 1.9658136375536102) / (X1  + (X1  / (((X1  + ((3.4607980350415426 + 1.2627407269153474) - (X1  / (4.904109260961875 * 2.7048121943275696)))) / 2.7048121943275696) / 3.8133863048586933)))) * 1.753152540641596))) - 3.4607980350415426)) / 3.4607980350415426) / 1.9658136375536102) / 1.2627407269153474)),(X1  / (((((X1  + 3.297620856997076) - ((1.9658136375536102 - (1.9658136375536102 / ((5.426611672595152 / (X1  + (X1  / (((X1  + (4.72353876195689 - (X1  / 13.264694531364446))) / 2.7048121943275696) / 3.8133863048586933)))) * 1.753152540641596))) - 3.4607980350415426)) / 3.4607980350415426) / 1.9658136375536102) / 1.2627407269153474))
11,12.213843902375215,0.15580550792999803,12.213843902375215,((X1  / (((((3.297620856997076 * 1.2627407269153474) / ((((((3.4607980350415426 / (3.4607980350415426 + 2.7048121943275696)) + 3.8133863048586933) - (1.8148161726648078 - 1.0497837490431565)) + (((1.8148161726648078 * 3.8133863048586933) / (2.7048121943275696 / 1.2627407269153474)) + (1.9658136375536102 / 3.297620856997076))) * (((X1  / 1.0497837490431565) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - (1.8148161726648078 / 1.0497837490431565)) + ((((((3.297620856997076 - 2.7048121943275696) + 2.7048121943275696) / 3.4607980350415426) + (1.9658136375536102 + 2.7048121943275696)) * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * (4.904109260961875 - (1.753152540641596 / 3.8133863048586933))),((X1  / ((((4.164040158055699 / ((7.4366690933563175 * (((X1  / 1.0497837490431565) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - 1.7287523971665149) + ((5.6234756727582695 * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * 4.444372848102817)
12,13.24622062237479,0.15580550792999803,13.24622062237479,((X1  / (((((3.297620856997076 * 1.2627407269153474) / ((((((3.4607980350415426 / (3.4607980350415426 + 2.7048121943275696)) + 3.8133863048586933) - (1.8148161726648078 - 1.0497837490431565)) + (((1.8148161726648078 * 3.8133863048586933) / (2.7048121943275696 / 1.2627407269153474)) + (1.9658136375536102 / 3.297620856997076))) * (((X1  / 1.0497837490431565) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - (1.8148161726648078 / 1.0497837490431565)) + ((((((3.297620856997076 - 2.7048121943275696) + 2.7048121943275696) / 3.4607980350415426) + (1.9658136375536102 + 2.7048121943275696)) * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * (4.904109260961875 - (1.753152540641596 / 3.8133863048586933))),((X1  / ((((4.164040158055699 / ((7.4366690933563175 * (((X1  / 1.0497837490431565) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - 1.7287523971665149) + ((5.6234756727582695 * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * 4.444372848102817)
13,13.248170854446478,0.15580550792999803,13.248170854446478,((X1  / (((((3.297620856997076 * 1.2627407269153474) / ((((((3.4607980350415426 / (3.4607980350415426 + 2.7048121943275696)) + 3.8133863048586933) - (1.8148161726648078 - 1.0497837490431565)) + (((1.8148161726648078 * 3.8133863048586933) / (2.7048121943275696 / 1.2627407269153474)) + (1.9658136375536102 / 3.297620856997076))) * (((X1  / 1.0497837490431565) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - (1.8148161726648078 / 1.0497837490431565)) + ((((((3.297620856997076 - 2.7048121943275696) + 2.7048121943275696) / 3.4607980350415426) + (1.9658136375536102 + 2.7048121943275696)) * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * (4.904109260961875 - (1.753152540641596 / 3.8133863048586933))),((X1  / ((((4.164040158055699 / ((7.4366690933563175 * (((X1  / 1.0497837490431565) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - 1.7287523971665149) + ((5.6234756727582695 * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * 4.444372848102817)
14,11.591256678219281,0.1239874818620399,11.591256678219281,(X1  / (((3.8133863048586933 + (4.904109260961875 - (3.8133863048586933 * ((1.0497837490431565 / (2.7048121943275696 - (3.8133863048586933 + (((3.8133863048586933 + 3.8133863048586933) - 2.7048121943275696) / (((((((3.297620856997076 + (3.297620856997076 * ((1.0497837490431565 * ((((2.7048121943275696 - 1.8148161726648078) + 1.753152540641596) / 3.297620856997076) * ((3.4607980350415426 / 3.297620856997076) / 4.904109260961875))) / 3.297620856997076))) + (1.2627407269153474 + 3.297620856997076)) / (2.7048121943275696 - ((2.7048121943275696 / (3.297620856997076 * 1.8148161726648078)) - 3.297620856997076))) + X1 ) / 2.7048121943275696) / (3.4607980350415426 / 3.297620856997076)) - (3.297620856997076 / 1.2627407269153474)))))) / ((X1  + 1.2627407269153474) + 1.0497837490431565))))) + (X1  - 3.8133863048586933)) / (3.8133863048586933 + 3.297620856997076))),(X1  / (((3.8133863048586933 + (4.904109260961875 - (3.8133863048586933 * ((1.0497837490431565 / (2.7048121943275696 - (3.8133863048586933 + (4.921960415389817 / ((((1.4481749282903904 + X1 ) / 2.7048121943275696) / 1.049483304819057) - 2.6114789732430514))))) / ((X1  + 1.2627407269153474) + 1.0497837490431565))))) + (X1  - 3.8133863048586933)) / 7.1110071618557695))
15,10.672340111545225,0.11451028251737672,10.672340111545225,((2.7048121943275696 * X1 ) / (((((1.8148161726648078 + X1 ) + ((3.4607980350415426 + 1.0497837490431565) - ((((3.4607980350415426 * 1.9658136375536102) + 3.4607980350415426) / (1.2627407269153474 + X1 )) / 3.4607980350415426))) - 1.9658136375536102) + 1.2627407269153474) / 2.7048121943275696)),((2.7048121943275696 * X1 ) / (((((1.8148161726648078 + X1 ) + (4.5105817840847 - ((10.264082009144943 / (1.2627407269153474 + X1 )) / 3.4607980350415426))) - 1.9658136375536102) + 1.2627407269153474) / 2.7048121943275696))
16,9.399813436767134,0.09288574537846395,9.399813436767134,((X1  / (((((3.297620856997076 * 1.2627407269153474) / ((((((3.4607980350415426 / (3.4607980350415426 + 2.7048121943275696)) + 3.8133863048586933) - (1.8148161726648078 - 1.0497837490431565)) + (((1.8148161726648078 * 3.8133863048586933) / (2.7048121943275696 / 1.2627407269153474)) + (1.9658136375536102 / 3.297620856997076))) * (((X1  / (X1  + 3.8133863048586933)) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - (1.8148161726648078 / 1.0497837490431565)) + ((((((3.297620856997076 - 2.7048121943275696) + 1.0497837490431565) / 3.4607980350415426) + (1.9658136375536102 + 2.7048121943275696)) * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * (4.904109260961875 - (1.753152540641596 / 3.8133863048586933))),((X1  / ((((4.164040158055699 / ((7.4366690933563175 * (((X1  / (X1  + 3.8133863048586933)) + 3.297620856997076) - 1.8148161726648078)) + 1.753152540641596)) + (((X1  * 1.9658136375536102) - 1.7287523971665149) + ((5.145254052043397 * X1 ) / (X1  + 3.297620856997076)))) / 3.297620856997076) + 2.7048121943275696)) * 4.444372848102817)
