Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,231.8567627362459,4.157477219176654,231.8567627362459,(((((X1  / -0.92108130526475) * (X2  / -0.92108130526475)) + -2.0400465755520925) - (1.07381118791539 - ((X1  / -2.0400465755520925) - (-1.0754630635528475 * -0.7023663107609162)))) * ((((-0.9857156384251926 - -1.2771678185839166) / -0.7023663107609162) / (0.1970817846767794 + -2.1138810304518554)) * -2.0400465755520925)),(((((X1  / -0.92108130526475) * (X2  / -0.92108130526475)) + -2.0400465755520925) - (1.07381118791539 - ((X1  / -2.0400465755520925) - 0.7553690243072462))) * -0.44163866555206877)
1,35.63661290714826,3.867196917887195,35.63661290714826,((1.07381118791539 + -0.7023663107609162) + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + (-0.9857156384251926 / -2.0400465755520925)))) - -1.2771678185839166)),(0.37144487715447383 + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + 0.4831829087815953))) - -1.2771678185839166))
2,22.923811008798285,3.867196917887195,22.923811008798285,((1.07381118791539 + -0.7023663107609162) + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + (-0.9857156384251926 / -2.0400465755520925)))) - -1.2771678185839166)),(0.37144487715447383 + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + 0.4831829087815953))) - -1.2771678185839166))
3,19.10983644422833,3.867196917887195,19.10983644422833,((1.07381118791539 + -0.7023663107609162) + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + (-0.9857156384251926 / -2.0400465755520925)))) - -1.2771678185839166)),(0.37144487715447383 + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + 0.4831829087815953))) - -1.2771678185839166))
4,21.029138468078248,3.867196917887195,21.029138468078248,((1.07381118791539 + -0.7023663107609162) + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + (-0.9857156384251926 / -2.0400465755520925)))) - -1.2771678185839166)),(0.37144487715447383 + ((X1  - (((X1  / -0.92108130526475) / -2.1138810304518554) * ((X1  - -0.92108130526475) + 0.4831829087815953))) - -1.2771678185839166))
5,18.638174737461636,3.0897413387655894,18.638174737461636,(((-2.1138810304518554 - ((-0.92108130526475 - -0.92108130526475) / (X2  * ((-0.044013583933512734 / -0.044013583933512734) / (-0.9857156384251926 + -1.2771678185839166))))) / (-0.92108130526475 + ((-1.2771678185839166 * X1 ) * X1 ))) + ((-0.9857156384251926 + (X1  / 1.07381118791539)) / ((-2.1138810304518554 - (-0.7023663107609162 - -2.1138810304518554)) / X2 ))),(((-2.1138810304518554 - (0.0 / (X2  * -0.4419140530205284))) / (-0.92108130526475 + ((-1.2771678185839166 * X1 ) * X1 ))) + ((-0.9857156384251926 + (X1  / 1.07381118791539)) / (-3.5253957501427946 / X2 )))
6,20.010227283332103,3.0897413387655894,20.010227283332103,(((-2.1138810304518554 - ((-0.92108130526475 - -0.92108130526475) / (X2  * ((-0.044013583933512734 / -0.044013583933512734) / (-0.9857156384251926 + -1.2771678185839166))))) / (-0.92108130526475 + ((-1.2771678185839166 * X1 ) * X1 ))) + ((-0.9857156384251926 + (X1  / 1.07381118791539)) / ((-2.1138810304518554 - (-0.7023663107609162 - -2.1138810304518554)) / X2 ))),(((-2.1138810304518554 - (0.0 / (X2  * -0.4419140530205284))) / (-0.92108130526475 + ((-1.2771678185839166 * X1 ) * X1 ))) + ((-0.9857156384251926 + (X1  / 1.07381118791539)) / (-3.5253957501427946 / X2 )))
7,22.528830441340975,3.0897413387655894,22.528830441340975,(((-2.1138810304518554 - ((-0.92108130526475 - -0.92108130526475) / -0.92108130526475)) / (-0.92108130526475 + ((-1.2771678185839166 * X1 ) * X1 ))) + ((-0.9857156384251926 + (X1  / 1.07381118791539)) / ((-2.1138810304518554 - (-0.7023663107609162 - -2.1138810304518554)) / X2 ))),((-2.1138810304518554 / (-0.92108130526475 + ((-1.2771678185839166 * X1 ) * X1 ))) + ((-0.9857156384251926 + (X1  / 1.07381118791539)) / (-3.5253957501427946 / X2 )))
8,21.779976575516447,1.4751673892814088,21.779976575516447,(((((-0.7023663107609162 - X1 ) / -1.0754630635528475) / -0.9857156384251926) + (-2.1138810304518554 + ((X1  + 0.1970817846767794) * X2 ))) / (-2.0400465755520925 + ((((0.1970817846767794 + -1.2771678185839166) + -0.9857156384251926) / ((-0.044013583933512734 * 0.1970817846767794) + -1.2771678185839166)) - (((0.1970817846767794 * X2 ) * X2 ) - -0.92108130526475)))),(((((-0.7023663107609162 - X1 ) / -1.0754630635528475) / -0.9857156384251926) + (-2.1138810304518554 + ((X1  + 0.1970817846767794) * X2 ))) / (-2.0400465755520925 + (1.60657492981542 - (((0.1970817846767794 * X2 ) * X2 ) - -0.92108130526475))))
9,18.778161018229753,1.203417983320537,18.778161018229753,(((((-0.7023663107609162 - X1 ) / -1.0754630635528475) / -0.9857156384251926) + (-2.1138810304518554 + ((X1  + 0.1970817846767794) * X2 ))) / (-2.0400465755520925 + ((((0.1970817846767794 + -1.2771678185839166) + -0.9857156384251926) / ((((-1.2771678185839166 - X1 ) / -2.0400465755520925) * (1.07381118791539 + (-0.044013583933512734 + (-0.92108130526475 - 0.1970817846767794)))) + -1.2771678185839166)) - (((0.1970817846767794 * X2 ) * X2 ) - -0.92108130526475)))),(((((-0.7023663107609162 - X1 ) / -1.0754630635528475) / -0.9857156384251926) + (-2.1138810304518554 + ((X1  + 0.1970817846767794) * X2 ))) / (-2.0400465755520925 + ((-2.06580167233233 / ((((-1.2771678185839166 - X1 ) / -2.0400465755520925) * -0.0883654859596521) + -1.2771678185839166)) - (((0.1970817846767794 * X2 ) * X2 ) - -0.92108130526475))))
